year,origin_fips,origin_state,origin_state_name,origin_type,dest_fips,dest_state,dest_state_name,dest_type,irs_returns_out,irs_returns_in,irs_individuals_out,irs_individuals_in,irs_agi_out,irs_agi_in,acs_migrants,acs_moe,acs_moe_pct,acs_reliable
2011,02,AK,Alaska,state,01,AL,Alabama,state,,,,,,,93,113,1.2151,False
2011,02,AK,Alaska,state,05,AR,Arkansas,state,,,,,,,190,258,1.3579,False
2011,02,AK,Alaska,state,04,AZ,Arizona,state,,,,,,,2467,1902,0.771,False
2011,02,AK,Alaska,state,06,CA,California,state,,,,,,,3098,1921,0.6201,False
2011,02,AK,Alaska,state,08,CO,Colorado,state,,,,,,,1583,727,0.4593,True
2011,02,AK,Alaska,state,09,CT,Connecticut,state,,,,,,,138,167,1.2101,False
2011,02,AK,Alaska,state,11,DC,District of Columbia,dc,,,,,,,140,220,1.5714,False
2011,02,AK,Alaska,state,10,DE,Delaware,state,,,,,,,11,24,2.1818,False
2011,02,AK,Alaska,state,12,FL,Florida,state,,,,,,,1188,476,0.4007,True
2011,02,AK,Alaska,state,57,FOR,Foreign Country,foreign,,,,,,,3697,901,0.2437,True
2011,02,AK,Alaska,state,13,GA,Georgia,state,,,,,,,556,419,0.7536,False
2011,02,AK,Alaska,state,15,HI,Hawaii,state,,,,,,,1366,703,0.5146,False
2011,02,AK,Alaska,state,19,IA,Iowa,state,,,,,,,319,374,1.1724,False
2011,02,AK,Alaska,state,16,ID,Idaho,state,,,,,,,475,253,0.5326,False
2011,02,AK,Alaska,state,17,IL,Illinois,state,,,,,,,985,686,0.6964,False
2011,02,AK,Alaska,state,18,IN,Indiana,state,,,,,,,181,156,0.8619,False
2011,02,AK,Alaska,state,US-ISL,ISL,U.S. Island Areas,territory,,,,,,,0,149,,
2011,02,AK,Alaska,state,20,KS,Kansas,state,,,,,,,750,741,0.988,False
2011,02,AK,Alaska,state,21,KY,Kentucky,state,,,,,,,237,354,1.4937,False
2011,02,AK,Alaska,state,22,LA,Louisiana,state,,,,,,,1077,1276,1.1848,False
2011,02,AK,Alaska,state,25,MA,Massachusetts,state,,,,,,,141,120,0.8511,False
2011,02,AK,Alaska,state,24,MD,Maryland,state,,,,,,,216,155,0.7176,False
2011,02,AK,Alaska,state,23,ME,Maine,state,,,,,,,0,149,,
2011,02,AK,Alaska,state,26,MI,Michigan,state,,,,,,,771,435,0.5642,False
2011,02,AK,Alaska,state,27,MN,Minnesota,state,,,,,,,593,568,0.9578,False
2011,02,AK,Alaska,state,29,MO,Missouri,state,,,,,,,921,1014,1.101,False
2011,02,AK,Alaska,state,28,MS,Mississippi,state,,,,,,,554,904,1.6318,False
2011,02,AK,Alaska,state,30,MT,Montana,state,,,,,,,248,185,0.746,False
2011,02,AK,Alaska,state,37,NC,North Carolina,state,,,,,,,470,404,0.8596,False
2011,02,AK,Alaska,state,38,ND,North Dakota,state,,,,,,,0,149,,
2011,02,AK,Alaska,state,31,NE,Nebraska,state,,,,,,,5,12,2.4,False
2011,02,AK,Alaska,state,33,NH,New Hampshire,state,,,,,,,520,744,1.4308,False
2011,02,AK,Alaska,state,34,NJ,New Jersey,state,,,,,,,128,136,1.0625,False
2011,02,AK,Alaska,state,35,NM,New Mexico,state,,,,,,,226,188,0.8319,False
2011,02,AK,Alaska,state,32,NV,Nevada,state,,,,,,,532,485,0.9117,False
2011,02,AK,Alaska,state,36,NY,New York,state,,,,,,,940,613,0.6521,False
2011,02,AK,Alaska,state,39,OH,Ohio,state,,,,,,,319,286,0.8966,False
2011,02,AK,Alaska,state,40,OK,Oklahoma,state,,,,,,,616,733,1.1899,False
2011,02,AK,Alaska,state,41,OR,Oregon,state,,,,,,,2161,841,0.3892,True
2011,02,AK,Alaska,state,42,PA,Pennsylvania,state,,,,,,,378,371,0.9815,False
2011,02,AK,Alaska,state,72,PR,Puerto Rico,territory,,,,,,,1044,962,0.9215,False
2011,02,AK,Alaska,state,44,RI,Rhode Island,state,,,,,,,0,149,,
2011,02,AK,Alaska,state,45,SC,South Carolina,state,,,,,,,186,182,0.9785,False
2011,02,AK,Alaska,state,46,SD,South Dakota,state,,,,,,,301,343,1.1395,False
2011,02,AK,Alaska,state,47,TN,Tennessee,state,,,,,,,388,308,0.7938,False
2011,02,AK,Alaska,state,48,TX,Texas,state,,,,,,,2492,1105,0.4434,True
2011,02,AK,Alaska,state,49,UT,Utah,state,,,,,,,662,731,1.1042,False
2011,02,AK,Alaska,state,51,VA,Virginia,state,,,,,,,1488,1112,0.7473,False
2011,02,AK,Alaska,state,50,VT,Vermont,state,,,,,,,68,105,1.5441,False
2011,02,AK,Alaska,state,53,WA,Washington,state,,,,,,,4548,1520,0.3342,True
2011,02,AK,Alaska,state,55,WI,Wisconsin,state,,,,,,,23,35,1.5217,False
2011,02,AK,Alaska,state,54,WV,West Virginia,state,,,,,,,89,75,0.8427,False
2011,02,AK,Alaska,state,56,WY,Wyoming,state,,,,,,,246,272,1.1057,False
2011,01,AL,Alabama,state,02,AK,Alaska,state,,,,,,,1771,1098,0.62,False
2011,01,AL,Alabama,state,05,AR,Arkansas,state,,,,,,,1642,1063,0.6474,False
2011,01,AL,Alabama,state,04,AZ,Arizona,state,,,,,,,1677,1060,0.6321,False
2011,01,AL,Alabama,state,06,CA,California,state,,,,,,,3389,1286,0.3795,True
2011,01,AL,Alabama,state,08,CO,Colorado,state,,,,,,,348,295,0.8477,False
2011,01,AL,Alabama,state,09,CT,Connecticut,state,,,,,,,2921,3231,1.1061,False
2011,01,AL,Alabama,state,11,DC,District of Columbia,dc,,,,,,,399,359,0.8997,False
2011,01,AL,Alabama,state,10,DE,Delaware,state,,,,,,,232,301,1.2974,False
2011,01,AL,Alabama,state,12,FL,Florida,state,,,,,,,20063,4141,0.2064,True
2011,01,AL,Alabama,state,57,FOR,Foreign Country,foreign,,,,,,,14248,2893,0.203,True
2011,01,AL,Alabama,state,13,GA,Georgia,state,,,,,,,19346,3711,0.1918,True
2011,01,AL,Alabama,state,15,HI,Hawaii,state,,,,,,,1259,1292,1.0262,False
2011,01,AL,Alabama,state,19,IA,Iowa,state,,,,,,,30,52,1.7333,False
2011,01,AL,Alabama,state,16,ID,Idaho,state,,,,,,,137,173,1.2628,False
2011,01,AL,Alabama,state,17,IL,Illinois,state,,,,,,,6991,3376,0.4829,True
2011,01,AL,Alabama,state,18,IN,Indiana,state,,,,,,,1434,634,0.4421,True
2011,01,AL,Alabama,state,US-ISL,ISL,U.S. Island Areas,territory,,,,,,,0,190,,
2011,01,AL,Alabama,state,20,KS,Kansas,state,,,,,,,842,632,0.7506,False
2011,01,AL,Alabama,state,21,KY,Kentucky,state,,,,,,,2686,856,0.3187,True
2011,01,AL,Alabama,state,22,LA,Louisiana,state,,,,,,,2413,972,0.4028,True
2011,01,AL,Alabama,state,25,MA,Massachusetts,state,,,,,,,112,146,1.3036,False
2011,01,AL,Alabama,state,24,MD,Maryland,state,,,,,,,1606,987,0.6146,False
2011,01,AL,Alabama,state,23,ME,Maine,state,,,,,,,626,378,0.6038,False
2011,01,AL,Alabama,state,26,MI,Michigan,state,,,,,,,2797,1250,0.4469,True
2011,01,AL,Alabama,state,27,MN,Minnesota,state,,,,,,,327,342,1.0459,False
2011,01,AL,Alabama,state,29,MO,Missouri,state,,,,,,,1086,536,0.4936,True
2011,01,AL,Alabama,state,28,MS,Mississippi,state,,,,,,,3945,1492,0.3782,True
2011,01,AL,Alabama,state,30,MT,Montana,state,,,,,,,317,463,1.4606,False
2011,01,AL,Alabama,state,37,NC,North Carolina,state,,,,,,,2697,1820,0.6748,False
2011,01,AL,Alabama,state,38,ND,North Dakota,state,,,,,,,284,333,1.1725,False
2011,01,AL,Alabama,state,31,NE,Nebraska,state,,,,,,,770,638,0.8286,False
2011,01,AL,Alabama,state,33,NH,New Hampshire,state,,,,,,,64,109,1.7031,False
2011,01,AL,Alabama,state,34,NJ,New Jersey,state,,,,,,,1996,2284,1.1443,False
2011,01,AL,Alabama,state,35,NM,New Mexico,state,,,,,,,119,184,1.5462,False
2011,01,AL,Alabama,state,32,NV,Nevada,state,,,,,,,257,333,1.2957,False
2011,01,AL,Alabama,state,36,NY,New York,state,,,,,,,1108,442,0.3989,True
2011,01,AL,Alabama,state,39,OH,Ohio,state,,,,,,,2596,958,0.369,True
2011,01,AL,Alabama,state,40,OK,Oklahoma,state,,,,,,,973,840,0.8633,False
2011,01,AL,Alabama,state,41,OR,Oregon,state,,,,,,,169,182,1.0769,False
2011,01,AL,Alabama,state,42,PA,Pennsylvania,state,,,,,,,1075,474,0.4409,True
2011,01,AL,Alabama,state,72,PR,Puerto Rico,territory,,,,,,,569,601,1.0562,False
2011,01,AL,Alabama,state,44,RI,Rhode Island,state,,,,,,,0,190,,
2011,01,AL,Alabama,state,45,SC,South Carolina,state,,,,,,,2036,973,0.4779,True
2011,01,AL,Alabama,state,46,SD,South Dakota,state,,,,,,,90,98,1.0889,False
2011,01,AL,Alabama,state,47,TN,Tennessee,state,,,,,,,8710,2300,0.2641,True
2011,01,AL,Alabama,state,48,TX,Texas,state,,,,,,,7973,2240,0.2809,True
2011,01,AL,Alabama,state,49,UT,Utah,state,,,,,,,300,390,1.3,False
2011,01,AL,Alabama,state,51,VA,Virginia,state,,,,,,,4935,2151,0.4359,True
2011,01,AL,Alabama,state,50,VT,Vermont,state,,,,,,,66,108,1.6364,False
2011,01,AL,Alabama,state,53,WA,Washington,state,,,,,,,2621,1272,0.4853,True
2011,01,AL,Alabama,state,55,WI,Wisconsin,state,,,,,,,417,457,1.0959,False
2011,01,AL,Alabama,state,54,WV,West Virginia,state,,,,,,,65,110,1.6923,False
2011,01,AL,Alabama,state,56,WY,Wyoming,state,,,,,,,9,15,1.6667,False
2011,05,AR,Arkansas,state,02,AK,Alaska,state,,,,,,,560,669,1.1946,False
2011,05,AR,Arkansas,state,01,AL,Alabama,state,,,,,,,691,573,0.8292,False
2011,05,AR,Arkansas,state,04,AZ,Arizona,state,,,,,,,439,381,0.8679,False
2011,05,AR,Arkansas,state,06,CA,California,state,,,,,,,4077,2327,0.5708,False
2011,05,AR,Arkansas,state,08,CO,Colorado,state,,,,,,,746,451,0.6046,False
2011,05,AR,Arkansas,state,09,CT,Connecticut,state,,,,,,,519,654,1.2601,False
2011,05,AR,Arkansas,state,11,DC,District of Columbia,dc,,,,,,,0,192,,
2011,05,AR,Arkansas,state,10,DE,Delaware,state,,,,,,,79,141,1.7848,False
2011,05,AR,Arkansas,state,12,FL,Florida,state,,,,,,,3067,1273,0.4151,True
2011,05,AR,Arkansas,state,57,FOR,Foreign Country,foreign,,,,,,,8635,3062,0.3546,True
2011,05,AR,Arkansas,state,13,GA,Georgia,state,,,,,,,1446,759,0.5249,False
2011,05,AR,Arkansas,state,15,HI,Hawaii,state,,,,,,,13,27,2.0769,False
2011,05,AR,Arkansas,state,19,IA,Iowa,state,,,,,,,851,773,0.9083,False
2011,05,AR,Arkansas,state,16,ID,Idaho,state,,,,,,,179,271,1.514,False
2011,05,AR,Arkansas,state,17,IL,Illinois,state,,,,,,,3684,2143,0.5817,False
2011,05,AR,Arkansas,state,18,IN,Indiana,state,,,,,,,1362,1007,0.7394,False
2011,05,AR,Arkansas,state,US-ISL,ISL,U.S. Island Areas,territory,,,,,,,46,81,1.7609,False
2011,05,AR,Arkansas,state,20,KS,Kansas,state,,,,,,,2008,1142,0.5687,False
2011,05,AR,Arkansas,state,21,KY,Kentucky,state,,,,,,,213,311,1.4601,False
2011,05,AR,Arkansas,state,22,LA,Louisiana,state,,,,,,,2120,1015,0.4788,True
2011,05,AR,Arkansas,state,25,MA,Massachusetts,state,,,,,,,781,901,1.1536,False
2011,05,AR,Arkansas,state,24,MD,Maryland,state,,,,,,,133,176,1.3233,False
2011,05,AR,Arkansas,state,23,ME,Maine,state,,,,,,,30,53,1.7667,False
2011,05,AR,Arkansas,state,26,MI,Michigan,state,,,,,,,1881,1130,0.6007,False
2011,05,AR,Arkansas,state,27,MN,Minnesota,state,,,,,,,232,396,1.7069,False
2011,05,AR,Arkansas,state,29,MO,Missouri,state,,,,,,,7314,2602,0.3558,True
2011,05,AR,Arkansas,state,28,MS,Mississippi,state,,,,,,,1731,864,0.4991,True
2011,05,AR,Arkansas,state,30,MT,Montana,state,,,,,,,713,858,1.2034,False
2011,05,AR,Arkansas,state,37,NC,North Carolina,state,,,,,,,1664,1220,0.7332,False
2011,05,AR,Arkansas,state,38,ND,North Dakota,state,,,,,,,214,248,1.1589,False
2011,05,AR,Arkansas,state,31,NE,Nebraska,state,,,,,,,332,417,1.256,False
2011,05,AR,Arkansas,state,33,NH,New Hampshire,state,,,,,,,52,69,1.3269,False
2011,05,AR,Arkansas,state,34,NJ,New Jersey,state,,,,,,,341,220,0.6452,False
2011,05,AR,Arkansas,state,35,NM,New Mexico,state,,,,,,,775,680,0.8774,False
2011,05,AR,Arkansas,state,32,NV,Nevada,state,,,,,,,641,525,0.819,False
2011,05,AR,Arkansas,state,36,NY,New York,state,,,,,,,674,362,0.5371,False
2011,05,AR,Arkansas,state,39,OH,Ohio,state,,,,,,,174,176,1.0115,False
2011,05,AR,Arkansas,state,40,OK,Oklahoma,state,,,,,,,3761,1456,0.3871,True
2011,05,AR,Arkansas,state,41,OR,Oregon,state,,,,,,,632,587,0.9288,False
2011,05,AR,Arkansas,state,42,PA,Pennsylvania,state,,,,,,,567,628,1.1076,False
2011,05,AR,Arkansas,state,72,PR,Puerto Rico,territory,,,,,,,529,507,0.9584,False
2011,05,AR,Arkansas,state,44,RI,Rhode Island,state,,,,,,,0,192,,
2011,05,AR,Arkansas,state,45,SC,South Carolina,state,,,,,,,235,269,1.1447,False
2011,05,AR,Arkansas,state,46,SD,South Dakota,state,,,,,,,0,192,,
2011,05,AR,Arkansas,state,47,TN,Tennessee,state,,,,,,,6462,2269,0.3511,True
2011,05,AR,Arkansas,state,48,TX,Texas,state,,,,,,,14767,2746,0.186,True
2011,05,AR,Arkansas,state,49,UT,Utah,state,,,,,,,0,192,,
2011,05,AR,Arkansas,state,51,VA,Virginia,state,,,,,,,1245,769,0.6177,False
2011,05,AR,Arkansas,state,50,VT,Vermont,state,,,,,,,0,192,,
2011,05,AR,Arkansas,state,53,WA,Washington,state,,,,,,,1477,636,0.4306,True
2011,05,AR,Arkansas,state,55,WI,Wisconsin,state,,,,,,,687,632,0.9199,False
2011,05,AR,Arkansas,state,54,WV,West Virginia,state,,,,,,,24,45,1.875,False
2011,05,AR,Arkansas,state,56,WY,Wyoming,state,,,,,,,252,399,1.5833,False
2011,04,AZ,Arizona,state,02,AK,Alaska,state,,,,,,,5001,2214,0.4427,True
2011,04,AZ,Arizona,state,01,AL,Alabama,state,,,,,,,833,587,0.7047,False
2011,04,AZ,Arizona,state,05,AR,Arkansas,state,,,,,,,1066,740,0.6942,False
2011,04,AZ,Arizona,state,06,CA,California,state,,,,,,,49635,8755,0.1764,True
2011,04,AZ,Arizona,state,08,CO,Colorado,state,,,,,,,10189,2958,0.2903,True
2011,04,AZ,Arizona,state,09,CT,Connecticut,state,,,,,,,1875,1213,0.6469,False
2011,04,AZ,Arizona,state,11,DC,District of Columbia,dc,,,,,,,389,389,1.0,False
2011,04,AZ,Arizona,state,10,DE,Delaware,state,,,,,,,0,229,,
2011,04,AZ,Arizona,state,12,FL,Florida,state,,,,,,,3732,1842,0.4936,True
2011,04,AZ,Arizona,state,57,FOR,Foreign Country,foreign,,,,,,,42569,6259,0.147,True
2011,04,AZ,Arizona,state,13,GA,Georgia,state,,,,,,,2206,1147,0.5199,False
2011,04,AZ,Arizona,state,15,HI,Hawaii,state,,,,,,,2199,1109,0.5043,False
2011,04,AZ,Arizona,state,19,IA,Iowa,state,,,,,,,4526,1745,0.3856,True
2011,04,AZ,Arizona,state,16,ID,Idaho,state,,,,,,,2190,1183,0.5402,False
2011,04,AZ,Arizona,state,17,IL,Illinois,state,,,,,,,10035,4129,0.4115,True
2011,04,AZ,Arizona,state,18,IN,Indiana,state,,,,,,,5855,1956,0.3341,True
2011,04,AZ,Arizona,state,US-ISL,ISL,U.S. Island Areas,territory,,,,,,,122,135,1.1066,False
2011,04,AZ,Arizona,state,20,KS,Kansas,state,,,,,,,1708,883,0.517,False
